Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Training Stress Score®,Total Strokes,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2025-02-02 14:48:43,false,"Dekalb County Cycling","5.85","612","01:34:56","122","165","2.1","3.7","18.2","554","630","0.0","--","73.4","No","00:15:00","2","84.2","01:03:38","01:34:57","241","413"
Cycling,2025-01-29 20:41:11,false,"Cherokee County Cycling","10.07","900","02:05:13","132","161","2.6","4.8","53.5","997","994","0.0","--","53.6","No","00:00:04.7","3","71.6","01:13:41","02:05:13","466","727"
Cycling,2025-01-26 09:14:52,false,"Anniston Cycling","41.88","1,976","05:15:37","126","181","2.9","8.0","79.2","2,815","2,769","0.0","--","64.4","No","00:00:00.2","12","87.8","02:19:00","05:15:37","833","1,415"
Strength Training,2025-01-22 17:30:17,false,"Strength","0.00","303","00:51:07","115","147","1.5","--","--","--","--","0.0","--","68.0","No","00:51:07","1","80.6","00:00:00","00:51:07","1,721","1,753"
Cycling,2025-01-15 20:36:06,false,"Cherokee County Cycling","6.60","834","01:30:16","143","169","3.1","4.4","14.6","610","650","0.0","--","57.2","No","00:20:24","2","64.4","00:53:30","01:30:16","1,513","1,680"
Cycling,2025-01-04 09:14:26,false,"Roswell Cycling","4.46","526","01:45:01","110","133","1.2","2.5","14.6","659","764","0.0","--","51.8","No","01:45:01","1","55.4","00:44:50","01:45:03","1,620","1,772"
Cycling,2024-12-27 18:32:08,false,"Atlanta Cycling","10.80","549","01:29:21","118","141","2.1","7.3","31.2","531","696","0.0","--","62.6","No","00:09:48.5","3","71.6","01:05:27","01:29:21","327","558"
Cycling,2024-12-26 10:15:29,false,"Cobb County Cycling","13.87","1,895","04:41:15","134","156","3.1","3.0","16.3","899","810","0.0","--","68.0","No","01:11:58","3","75.2","02:16:05","04:41:15","122","278"
Rowing,2024-11-10 12:03:59,false,"Gilmer County Rowing","7,857","903","04:00:40","95","133","1.2","15:19","2:42","--","--","0.0","2841","59.0","No","00:37:48","2","69.8","01:10:37","04:00:41","--","--"
Cycling,2024-11-09 14:14:34,false,"Roswell Cycling","13.62","1,306","03:28:07","126","173","2.8","3.9","46.4","1,677","1,739","0.0","--","75.2","No","00:48:06","3","82.4","01:43:04","03:28:07","776","983"
Strength Training,2024-11-05 21:34:56,false,"Strength","0.00","4","00:03:21.9","57","67","1.0","--","--","--","--","0.0","--","75.2","No","00:03:21.9","1","77.0","00:00:00","00:03:21.9","1,012","1,016"
Cycling,2024-11-05 10:15:02,false,"Roswell Cycling","14.59","1,122","02:40:56","131","159","2.8","5.4","33.8","1,594","1,493","0.0","--","69.8","No","00:43:30","3","84.2","02:02:08","02:41:02","965","1,161"
Cycling,2024-11-02 09:43:26,false,"Woodstock Cycling","12.23","2,055","05:24:52","128","167","3.0","2.3","31.8","1,342","1,155","0.0","--","69.8","No","00:55:18","3","93.2","01:49:18","05:24:52","31","334"
Cycling,2024-10-14 12:00:33,false,"Hamilton County Cycling","8.78","1,035","02:31:23","132","153","2.7","3.5","38.3","1,581","1,713","0.0","--","69.8","No","00:57:40","2","89.6","01:25:53","02:31:23","447","1,230"
Cycling,2024-10-13 11:25:12,false,"Chattanooga Cycling","20.20","2,206","05:02:19","137","170","3.4","4.0","18.8","3,648","3,579","0.0","--","77.0","No","00:02:13.9","5","96.8","03:20:53","05:02:26","481","1,264"
Cycling,2024-10-12 11:48:21,false,"Marion County Cycling","16.37","1,605","03:43:23","136","178","3.1","4.4","30.5","2,218","2,133","0.0","--","75.2","No","00:09:06.3","4","89.6","02:21:00","03:43:23","337","1,487"
Cycling,2024-10-09 19:28:10,false,"Atlanta Cycling","8.13","494","01:08:31","124","155","2.3","7.1","25.6","427","440","0.0","--","73.4","No","00:31:20","2","78.8","00:49:13","01:08:48","659","817"
Cycling,2024-10-06 10:53:04,false,"Auburn Cycling","3.78","561","01:23:42","122","165","2.1","2.7","15.0","758","738","0.0","--","82.4","No","01:23:42","1","89.6","00:40:40","01:23:42","738","976"
Cycling,2024-10-05 15:59:01,false,"Auburn Cycling","2.41","333","00:43:37","128","157","2.3","3.3","18.5","541","154","0.0","--","82.4","No","00:43:37","1","87.8","00:19:01","00:43:37","756","848"
Cycling,2024-10-05 07:59:48,false,"Auburn Cycling","3.30","279","00:33:10","129","173","2.3","6.0","19.2","318","302","0.0","--","75.2","No","00:33:10","1","89.6","00:25:23","00:33:10","625","768"
Cycling,2024-10-02 20:48:37,false,"Cherokee County Cycling","9.04","1,100","02:40:40","135","187","3.3","3.4","45.1","781","761","0.0","--","75.2","No","00:47:22","2","84.2","01:04:02","02:40:40","1,363","1,591"
Cycling,2024-10-02 10:09:15,false,"Cherokee County Cycling","7.86","1,055","02:13:25","139","164","3.0","3.5","19.5","568","571","0.0","--","75.2","No","01:00:09","2","86.0","01:04:19","02:13:25","1,410","1,574"
Cycling,2024-09-08 12:32:01,false,"Cleveland Cycling","0.27","5","00:03:47.5","--","--","--","4.3","17.3","--","15,479","0.0","--","75.2","No","00:03:47.5","1","78.8","00:02:00","00:03:47.5","17,509","17,703"
Cycling,2024-09-07 11:03:01,false,"Cleveland Cycling","12.08","1,012","01:56:49","137","174","3.0","6.2","22.1","1,368","1,352","0.0","--","80.6","No","00:15:22","3","102.2","01:34:22","02:00:54","17,657","17,853"
Cycling,2024-09-04 20:41:51,false,"Cherokee County Cycling","6.77","1,014","01:50:25","144","188","3.0","3.7","21.8","663","741","0.0","--","80.6","No","00:00:37.7","5","86.0","00:48:03","01:51:02","17,024","17,213"
