Date,Avg Duration,Avg Bedtime,Avg Wake Time
Aug 7-13,--,--,--
Jul 31 - Aug 6,--,--,--
Jul 24-30,--,--,--
Jul 17-23,--,--,--
Jul 10-16,--,--,--
Jul 3-9,--,--,--
Jun 26 - Jul 2,--,--,--
Jun 19-25,--,--,--
Jun 12-18,--,--,--
Jun 5-11,--,--,--
May 29 - Jun 4,--,--,--
May 22-28,--,--,--
May 15-21,--,--,--
May 8-14,--,--,--
May 1-7,--,--,--
Apr 24-30,--,--,--
Apr 17-23,--,--,--
Apr 10-16,--,--,--
Apr 3-9,--,--,--
Mar 27 - Apr 2,--,--,--
Mar 20-26,--,--,--
Mar 13-19,--,--,--
Mar 6-12,--,--,--
Feb 27 - Mar 5,--,--,--
Feb 20-26,--,--,--
Feb 13-19,--,--,--
Feb 6-12,--,--,--
Jan 30 - Feb 5,6h 34min,1:34 AM,8:16 AM
Jan 23-29,7h 56min,11:50 PM,7:57 AM
Jan 16-22,7h 5min,12:13 AM,7:23 AM
Jan 9-15,--,--,--
Jan 2-8,--,--,--
Dec 26, 2024 - Jan 1, 2025,5h 33min,3:32 AM,9:05 AM
Dec 19-25, 2024,--,--,--
Dec 12-18, 2024,--,--,--
Dec 5-11, 2024,--,--,--
Nov 28 - Dec 4, 2024,--,--,--
Nov 21-27, 2024,--,--,--
Nov 14-20, 2024,--,--,--
Nov 7-13, 2024,7h 49min,12:14 AM,8:07 AM
Oct 31 - Nov 6, 2024,7h 49min,12:02 AM,8:05 AM
Oct 24-30, 2024,--,--,--
Oct 17-23, 2024,--,--,--
Oct 10-16, 2024,6h 44min,11:46 PM,6:32 AM
Oct 3-9, 2024,7h 9min,12:08 AM,7:31 AM
Sep 26 - Oct 2, 2024,--,--,--
Sep 19-25, 2024,--,--,--
Sep 12-18, 2024,7h 20min,12:55 AM,8:25 AM
Sep 5-11, 2024,5h 52min,1:44 AM,7:39 AM
Aug 29 - Sep 4, 2024,8h 29min,11:40 PM,8:18 AM
Aug 22-28, 2024,7h 46min,11:00 PM,6:54 AM
Aug 15-21, 2024,--,--,--
